ID,T<sub>off</sub>,tau off unnormalized,1AP ∆Ffast normalized,1AP ∆Ffast unnormalized,1AP ∆F/F0 normalized,1AP ∆F/F0 unnormalized,20AP ∆F/F0,20AP ∆F/F0 unnormalized 
6412,3.29728249,0.549091004,1.359723471,12.01160013,2.017411607,8.660968823,2.261817567,223.2952646
4161,0.735306402,1.28208784,0.971919712,6.874025765,0.936737186,12.4884413,0.766838956,41.8845145
8697,2.936177007,0.792427491,1.493370075,10.15345814,2.330330854,8.272650262,2.69111146,162.3011738
4494,2.623022419,1.48677831,2.501563932,40.79905259,1.274041543,8.115901122,1.724032017,163.2532234
8713,2.411360898,0.650787968,1.113771481,9.794965236,2.269896203,8.058107881,2.066820076,124.6501044
6415,3.449726598,0.94690814,1.575806908,21.79565937,2.250294936,8.050105383,1.639617123,87.93684442
2084,2.460432212,0.576586727,0.961703054,11.3901076,1.406104815,7.994008031,1.52535921,108.771348
7107,2.753912817,0.822940533,0.707501445,13.54331929,1.265385861,7.984706805,0.524354717,63.06851909
4172,0.74196935,1.293705425,1.095883313,11.65594998,0.906781923,12.08908217,1.122644448,49.69543967
4505,3.029202768,0.893142364,1.157792498,10.26266062,1.874765958,7.965860053,1.721015885,162.5444852
2185,6.746157928,3.749677927,1.27372724,19.6117471,3.083673856,12.78890311,0.704881385,117.3966819
9527,3.372231248,1.172991852,1.768797289,17.7647248,2.724066781,7.945072194,4.054365369,199.3014866
2190,2.204137617,0.568871497,0.895756255,13.00466755,2.015308964,7.943741455,1.594109785,117.538688
257,2.428531171,0.605733489,1.023611869,13.47848759,1.39280275,7.923257495,3.284869961,298.2717181
6375,2.846526956,0.785499691,1.504355122,21.14136316,1.471735616,7.871732193,1.591462891,168.140937
8374,4.97099391,1.098510133,1.698938688,19.67356636,1.629815086,7.851826152,2.445781853,160.0323313
6384,2.511707591,1.03683805,1.380739872,26.17298218,2.515678341,7.841110766,1.276110526,132.5296378
2618,1.12589167,0.263845592,0.945908827,11.20304575,1.921111303,10.92193058,1.45296339,70.57529374
2708,1.937775496,0.823055715,1.081625451,11.86891463,1.625329114,10.69332415,0.842204596,45.45420719
9032,2.347478072,0.385045406,1.89072815,14.2048602,1.721977304,7.832192184,1.531180959,73.79926182
5800,1.15537622,0.391748891,0.716838484,14.44289248,2.342045106,10.67139951,0.692426448,63.32118683
8882,2.967503518,0.782353927,0.973561765,6.066332105,2.532801103,7.826392901,1.277264104,60.8543681
