,ID,1AP ∆Ffast normalized
2493,8674,2.000096752
1725,6398,2.000030414
2929,9374,1.99969076
477,2116,1.998855728
3008,9528,1.997372614
3043,9593,1.995925726
2516,8709,1.994399073
2750,9094,1.991338279
2861,9252,1.984090547
2962,9434,1.9820258325000002
2789,9138,1.980258487
2193,8102,1.972551329
2656,8926,1.970444655
2411,8540,1.966806369
2689,8994,1.964719535
2631,8889,1.963526505
2620,8877,1.962663452
3023,9550,1.960809184
2523,8718,1.960284823
2312,8358,1.959265946
2844,9219,1.959121189
2568,8796,1.9569466805000002
2386,8490,1.955692098
2602,8850,1.954315685
2359,8445,1.949907699
2748,9092,1.949568895
2235,8222,1.948281769
2928,9373,1.948036891
2160,8019,1.9460537175
2547,8747,1.944380653
2514,8706,1.933078393
2659,8931,1.92912118
2473,8638,1.929031405
1713,6385,1.928349814
2491,8672,1.928030872
2596,8844,1.92751369
2616,8873,1.927003791
3040,9588,1.9240074655
2529,8726,1.921999627
2229,8207,1.920760857
2806,9162,1.918996263
2924,9369,1.916930775
2671,8953,1.916438484
2574,8806,1.9141289
2598,8846,1.913470054
2540,8740,1.9128384205
2774,9123,1.909824629
2158,8016,1.9080748285
1749,6422,1.903505199
2966,9438,1.90309305
2567,8795,1.897897115
2252,8261,1.895755449
2707,9032,1.89072815
2593,8841,1.890642493
2305,8351,1.885605213
2541,8741,1.88415022
2217,8190,1.880538511
2586,8833,1.880081334
2162,8021,1.878434182
1062,3752,1.878154502
2481,8651,1.876001906
2746,9090,1.875623177
1717,6389,1.874732958
1747,6420,1.860286923
3004,9524,1.854169495
2615,8872,1.854132596
2977,9453,1.854032074
2594,8842,1.850411793
2600,8848,1.850052909
2539,8739,1.847226121
2775,9124,1.844184222
781,2966,1.842955158
2484,8658,1.842295369
2791,9140,1.838300444
2845,9220,1.835763221
2468,8626,1.833713987
2822,9183,1.832826225
2569,8797,1.82934041
1304,4502,1.828887972
2964,9436,1.8271390775
2724,9060,1.827050871
3041,9589,1.8249869135
2942,9392,1.82321069
2934,9379,1.821647832
1587,5833,1.821011674
2854,9232,1.820714432
2495,8676,1.819656012
2943,9397,1.816409964
2863,9256,1.812969359
2254,8265,1.811113289
2266,8286,1.809123889
2315,8363,1.808562147
2421,8552,1.80656305
2364,8458,1.806492649
2273,8305,1.805471111
1704,6374,1.803808113
2582,8822,1.802053815
2171,8045,1.8006630675
2530,8728,1.800321634
2611,8861,1.799507309
2642,8903,1.799391847
2725,9061,1.798507177
18,151,1.7978886365000002
1714,6386,1.795729294
2608,8857,1.795380451
2842,9217,1.794103774
2732,9068,1.793239525
2131,7980,1.792494097
2781,9130,1.791854641
2265,8285,1.790112384
2368,8468,1.784699908
1408,4672,1.784622584
2365,8459,1.784554608
2182,8079,1.783761077
2813,9173,1.783696064
1688,6358,1.781592711
2121,7965,1.7812147685
2471,8630,1.777815664
127,424,1.776494991
2898,9328,1.7753319195000001
2127,7975,1.7749119985
1735,6408,1.774908218
2902,9338,1.772803664
2494,8675,1.772151264
2358,8441,1.771267239
2932,9377,1.768921195
2422,8554,1.768068055
2752,9096,1.76502207
2208,8177,1.764846612
2159,8017,1.764728275
2939,9388,1.764528759
2186,8087,1.762030092
2418,8548,1.761294593
2147,8003,1.760425984
2542,8742,1.758831142
2588,8836,1.754642799
2184,8085,1.753129291
2647,8909,1.752354621
2276,8312,1.748635429
2250,8259,1.747801767
2415,8545,1.747646645
2474,8639,1.743126991
2933,9378,1.740993419
